station,easting,northing,elevation
"21236",533881.665,6383096.229,100.000
"21237",533891.150,6383099.398,100.000
"21238",533900.635,6383102.566,100.000
"21239",533910.119,6383105.735,100.000
"21240",533919.604,6383108.903,100.000
"21241",533929.089,6383112.071,100.000
"21242",533938.574,6383115.240,100.000
"21243",533948.058,6383118.408,100.000
"21244",533957.543,6383121.577,100.000
"21245",533967.028,6383124.745,100.000
"21246",533976.513,6383127.914,100.000
"21247",533985.998,6383131.082,100.000
"21248",533995.482,6383134.251,100.000
"21249",534004.967,6383137.419,100.000
"21250",534014.452,6383140.588,100.000
"21251",534023.937,6383143.756,100.000
"21252",534033.421,6383146.924,100.000
"21253",534042.906,6383150.093,100.000
"21254",534052.391,6383153.261,100.000
"21255",534061.876,6383156.430,100.000
"21256",534071.361,6383159.598,100.000
"21257",534080.845,6383162.767,100.000
"21258",534090.330,6383165.935,100.000
"21259",534099.815,6383169.104,100.000
"21260",534109.300,6383172.272,100.000
"21261",534118.784,6383175.441,100.000
"21262",534128.269,6383178.609,100.000
"21263",534137.754,6383181.777,100.000
"21264",534147.239,6383184.946,100.000
"21265",534156.723,6383188.114,100.000
"21266",534166.208,6383191.283,100.000
"21267",534175.693,6383194.451,100.000
"21268",534185.178,6383197.620,100.000
"21269",534194.663,6383200.788,100.000
"21270",534204.147,6383203.957,100.000
"21271",534213.632,6383207.125,100.000
"21272",534223.117,6383210.294,100.000
"21273",534232.602,6383213.462,100.000
"21274",534242.086,6383216.630,100.000
"21275",534251.571,6383219.799,100.000
"21276",534261.056,6383222.967,100.000
"21277",534270.541,6383226.136,100.000
"21278",534280.025,6383229.304,100.000
"21279",534289.510,6383232.473,100.000
"21280",534298.995,6383235.641,100.000
"21281",534308.480,6383238.810,100.000
"21282",534317.965,6383241.978,100.000
"21283",534327.449,6383245.147,100.000
"21284",534336.934,6383248.315,100.000
"21285",534346.419,6383251.483,100.000
"21286",534355.904,6383254.652,100.000
"21287",534365.388,6383257.820,100.000
"21288",534374.873,6383260.989,100.000
"21289",534384.358,6383264.157,100.000
"21290",534393.843,6383267.326,100.000
"21291",534403.328,6383270.494,100.000
"21292",534412.812,6383273.663,100.000
"21293",534422.297,6383276.831,100.000
"21294",534431.782,6383280.000,100.000
"21295",534441.267,6383283.168,100.000
"21296",534450.751,6383286.336,100.000
"21297",534460.236,6383289.505,100.000
"21298",534469.721,6383292.673,100.000
"21299",534479.206,6383295.842,100.000
"21300",534488.967,6383296.479,100.000
"21301",534498.913,6383295.436,100.000
"21302",534508.858,6383294.392,100.000
"21303",534518.803,6383293.348,100.000
"21304",534528.749,6383292.304,100.000
"21305",534538.694,6383291.261,100.000
"21306",534548.640,6383290.217,100.000
"21307",534558.585,6383289.173,100.000
"21308",534568.530,6383288.129,100.000
"21309",534578.476,6383287.086,100.000
"21310",534588.421,6383286.042,100.000
"21311",534598.366,6383284.998,100.000
"21312",534608.312,6383283.954,100.000
"21313",534618.257,6383282.911,100.000
"21314",534628.203,6383281.867,100.000
"21315",534638.148,6383280.823,100.000
"21316",534648.093,6383279.779,100.000
"21317",534658.039,6383278.736,100.000
"21318",534667.984,6383277.692,100.000
"21319",534677.929,6383276.648,100.000
"21320",534687.875,6383275.604,100.000
"21321",534697.820,6383274.561,100.000
"21322",534707.766,6383273.517,100.000
"21323",534717.711,6383272.473,100.000
"21324",534727.656,6383271.429,100.000
"21325",534737.602,6383270.386,100.000
"21326",534747.547,6383269.342,100.000
"21327",534757.493,6383268.298,100.000
"21328",534767.438,6383267.254,100.000
"21329",534777.383,6383266.211,100.000
"21330",534787.329,6383265.167,100.000
"21331",534797.274,6383264.123,100.000
"21332",534807.219,6383263.080,100.000
"21333",534817.165,6383262.036,100.000
"21334",534827.110,6383260.992,100.000
"21335",534837.056,6383259.948,100.000
"21336",534847.001,6383258.905,100.000
"21337",534856.946,6383257.861,100.000
"21338",534866.892,6383256.817,100.000
"21339",534876.837,6383255.773,100.000
"21340",534886.782,6383254.730,100.000
"21341",534896.728,6383253.686,100.000
"21342",534906.673,6383252.642,100.000
"21343",534916.619,6383251.598,100.000
"21344",534926.564,6383250.555,100.000
"21345",534936.509,6383249.511,100.000
"21346",534946.455,6383248.467,100.000
"21347",534956.400,6383247.423,100.000
"21348",534966.346,6383246.380,100.000
"21349",534976.291,6383245.336,100.000
"21350",534986.236,6383244.292,100.000
"21351",534996.182,6383243.248,100.000
"21352",535006.127,6383242.205,100.000
"21353",535016.072,6383241.161,100.000
"21354",535026.018,6383240.117,100.000
"21355",535035.963,6383239.073,100.000
"21356",535045.909,6383238.030,100.000
"21357",535055.854,6383236.986,100.000
"21358",535065.799,6383235.942,100.000
"21359",535075.745,6383234.898,100.000
"21360",535085.690,6383233.855,100.000
"21361",535095.635,6383232.811,100.000
"21362",535105.581,6383231.767,100.000
"21363",535115.526,6383230.723,100.000
"21364",535125.472,6383229.680,100.000
"21365",535135.417,6383228.636,100.000
"21366",535145.362,6383227.592,100.000
"21367",535155.308,6383226.549,100.000
"21368",535165.253,6383225.505,100.000
"21369",535175.199,6383224.461,100.000
"21370",535185.144,6383223.417,100.000
"21371",535195.089,6383222.374,100.000
"21372",535205.035,6383221.330,100.000
"21373",535214.980,6383220.286,100.000
"21374",535224.925,6383219.242,100.000
"21375",535234.871,6383218.199,100.000
"21376",535244.816,6383217.155,100.000
