Filename	Latitude	Longitude
Line 1_Albert Rd NE to SW_GRMN0812_frame_001259_sec_0_00_42.jpg	-32.38075984641068	147.4825754439842
Line 1_Albert Rd NE to SW_GRMN0812_frame_001289_sec_0_00_43.jpg	-32.38089257822555	147.4823600920118
Line 1_Albert Rd NE to SW_GRMN0812_frame_001319_sec_0_00_44.jpg	-32.381016242360644	147.4821474483199
Line 1_Albert Rd NE to SW_GRMN0812_frame_001349_sec_0_00_45.jpg	-32.38112329663711	147.4819315263503
Line 1_Albert Rd NE to SW_GRMN0812_frame_001379_sec_0_00_46.jpg	-32.38121539493281	147.48170502808236
Line 1_Albert Rd NE to SW_GRMN0812_frame_001409_sec_0_00_47.jpg	-32.3812920671068	147.48147502751374
Line 1_Albert Rd NE to SW_GRMN0812_frame_001439_sec_0_00_48.jpg	-32.381355398311285	147.48124338646105
Line 1_Albert Rd NE to SW_GRMN0812_frame_001469_sec_0_00_49.jpg	-32.381411999976265	147.48101278338748
Line 1_Albert Rd NE to SW_GRMN0812_frame_001499_sec_0_00_50.jpg	-32.38146659956778	147.48078515470203
Line 1_Albert Rd NE to SW_GRMN0812_frame_001529_sec_0_00_51.jpg	-32.381524818934544	147.48056237898774
Line 1_Albert Rd NE to SW_GRMN0812_frame_001559_sec_0_00_52.jpg	-32.38157790176198	147.48033424757264
Line 1_Albert Rd NE to SW_GRMN0812_frame_001589_sec_0_00_53.jpg	-32.38163406077029	147.48011051484835
Line 1_Albert Rd NE to SW_GRMN0812_frame_001619_sec_0_00_54.jpg	-32.38169574754869	147.4798845990136
Line 1_Albert Rd NE to SW_GRMN0812_frame_001649_sec_0_00_55.jpg	-32.381754460427935	147.47966839356826
Line 1_Albert Rd NE to SW_GRMN0812_frame_001679_sec_0_00_56.jpg	-32.38181985153257	147.47945666028485
Line 1_Albert Rd NE to SW_GRMN0812_frame_001709_sec_0_00_57.jpg	-32.381882784040684	147.47925025658705
Line 1_Albert Rd NE to SW_GRMN0812_frame_001739_sec_0_00_58.jpg	-32.38193899895064	147.479047211688
Line 1_Albert Rd NE to SW_GRMN0812_frame_001769_sec_0_00_59.jpg	-32.38199521386059	147.47884416678897
Line 1_Albert Rd NE to SW_GRMN0812_frame_001799_sec_0_01_00.jpg	-32.38205142877054	147.47864112188992
Line 1_Albert Rd NE to SW_GRMN0813_frame_000000_sec_0_00_00.jpg	-32.3820438981056	147.478672675788
Line 1_Albert Rd NE to SW_GRMN0813_frame_000030_sec_0_00_01.jpg	-32.38210221595134	147.4784907724805
Line 1_Albert Rd NE to SW_GRMN0813_frame_000060_sec_0_00_02.jpg	-32.3821659127995	147.47830695725963
Line 1_Albert Rd NE to SW_GRMN0813_frame_000090_sec_0_00_03.jpg	-32.38223688254136	147.47813113259184
Line 1_Albert Rd NE to SW_GRMN0813_frame_000120_sec_0_00_04.jpg	-32.38230387356134	147.47796717803953
Line 1_Albert Rd NE to SW_GRMN0813_frame_000150_sec_0_00_05.jpg	-32.38238002122375	147.47780112046755
Line 1_Albert Rd NE to SW_GRMN0813_frame_000180_sec_0_00_06.jpg	-32.38246568201108	147.47763227675097
Line 1_Albert Rd NE to SW_GRMN0813_frame_000210_sec_0_00_07.jpg	-32.38255072371108	147.47745825402404
Line 1_Albert Rd NE to SW_GRMN0813_frame_000240_sec_0_00_08.jpg	-32.382642636224645	147.4772831097989
Line 1_Albert Rd NE to SW_GRMN0813_frame_000270_sec_0_00_09.jpg	-32.38273947503413	147.47711338371965
Line 1_Albert Rd NE to SW_GRMN0813_frame_000300_sec_0_00_10.jpg	-32.38284730436283	147.47692626183826
Line 1_Albert Rd NE to SW_GRMN0813_frame_000330_sec_0_00_11.jpg	-32.382964892825115	147.47674561992287
Line 1_Albert Rd NE to SW_GRMN0813_frame_000360_sec_0_00_12.jpg	-32.383086124397785	147.47656501170272
Line 1_Albert Rd NE to SW_GRMN0813_frame_000390_sec_0_00_13.jpg	-32.383206753814584	147.47638031101792
Line 1_Albert Rd NE to SW_GRMN0813_frame_000420_sec_0_00_14.jpg	-32.38333205480133	147.476193283349
Line 1_Albert Rd NE to SW_GRMN0813_frame_000450_sec_0_00_15.jpg	-32.38345983540636	147.4760057268661
Line 1_Albert Rd NE to SW_GRMN0813_frame_000480_sec_0_00_16.jpg	-32.38359300591049	147.47582144267886
Line 1_Albert Rd NE to SW_GRMN0813_frame_000510_sec_0_00_17.jpg	-32.38373247683979	147.47563507164804
Line 1_Albert Rd NE to SW_GRMN0813_frame_000540_sec_0_00_18.jpg	-32.38387824928388	147.47544741567197
Line 1_Albert Rd NE to SW_GRMN0813_frame_000570_sec_0_00_19.jpg	-32.384026019135504	147.4752619828283
Line 1_Albert Rd NE to SW_GRMN0813_frame_000600_sec_0_00_20.jpg	-32.38418335877364	147.47509368527642
Line 1_Albert Rd NE to SW_GRMN0813_frame_000630_sec_0_00_21.jpg	-32.38434167054479	147.4749343919008
Line 1_Albert Rd NE to SW_GRMN0813_frame_000660_sec_0_00_22.jpg	-32.38449541283775	147.4747845985745
Line 1_Albert Rd NE to SW_GRMN0813_frame_000690_sec_0_00_23.jpg	-32.38464670903979	147.47463000509887
Line 1_Albert Rd NE to SW_GRMN0813_frame_000720_sec_0_00_24.jpg	-32.38479151614009	147.47448063187343
Line 1_Albert Rd NE to SW_GRMN0813_frame_000750_sec_0_00_25.jpg	-32.384929035091744	147.47433022339854
Line 1_Albert Rd NE to SW_GRMN0813_frame_000780_sec_0_00_26.jpg	-32.385063239336006	147.47418086651686
Line 1_Albert Rd NE to SW_GRMN0813_frame_000810_sec_0_00_27.jpg	-32.38519283059987	147.47402764926713
